City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rio Grande,-32.035,-52.0986,300.15,50,20,4.12,BR,1615558960
Hermanus,-34.4187,19.2345,296.48,67,100,0.45,ZA,1615558962
Qaanaaq,77.484,-69.3632,257.07,69,100,0.77,GL,1615558964
Avera,33.194,-82.5271,291.48,82,1,2.06,US,1615558965
Rikitea,-23.1203,-134.9692,299.29,76,100,3.78,PF,1615558966
Anadyr,64.75,177.4833,271.15,93,90,12.0,RU,1615558968
Arrondissement de Narbonne,43.0833,2.8333,289.82,47,75,4.63,FR,1615558969
Saint-François,46.4154,3.9054,286.48,58,75,4.63,FR,1615558970
Saint-Philippe,-21.3585,55.7679,300.15,65,0,7.72,RE,1615558972
Hirara,24.8,125.2833,292.79,83,23,8.95,JP,1615558973
Saldanha,-33.0117,17.9442,301.15,36,81,4.63,ZA,1615558814
Albany,42.6001,-73.9662,283.15,40,0,1.34,US,1615558803
Dikson,73.5069,80.5464,254.17,94,100,18.2,RU,1615558977
Punta Arenas,-53.15,-70.9167,287.15,67,40,7.72,CL,1615558978
Kapaa,22.0752,-159.319,294.15,94,90,4.12,US,1615558979
Belvedere Marittimo,39.6179,15.8617,279.15,87,0,2.57,IT,1615558981
Puerto Ayora,-0.7393,-90.3518,300.15,78,20,3.6,EC,1615558721
Jamestown,42.097,-79.2353,279.82,75,1,3.98,US,1615558983
Ushuaia,-54.8,-68.3,285.15,66,0,5.14,AR,1615558863
Hilo,19.7297,-155.09,294.15,83,1,1.54,US,1615558986
Vaini,-21.2,-175.2,296.15,88,75,3.6,TO,1615558987
Pisco,-13.7,-76.2167,295.37,88,90,4.63,PE,1615558988
Svetlaya,46.5389,138.3297,270.44,72,0,2.94,RU,1615558990
Busselton,-33.65,115.3333,286.48,79,0,0.45,AU,1615558950
Provideniya,64.3833,-173.3,262.79,96,100,2.46,RU,1615558994
Severo-Kuril'sk,50.6789,156.125,267.15,79,91,14.41,RU,1615558996
Dicabisagan,17.0818,122.4157,297.66,88,43,3.87,PH,1615558997
Richards Bay,-28.783,32.0377,299.99,74,28,3.21,ZA,1615558998
Ribeira Grande,38.5167,-28.7,289.15,82,75,5.14,PT,1615559000
Butaritari,3.0707,172.7902,299.97,81,98,5.65,KI,1615559001
Hobart,-42.8794,147.3294,294.15,64,100,4.63,AU,1615558851
Broken Hill,-31.95,141.4333,299.15,34,0,4.12,AU,1615559003
Gamba,-2.65,10.0,302.24,66,100,3.03,GA,1615559005
Hithadhoo,-0.6,73.0833,301.87,60,1,1.96,MV,1615559006
Cidreira,-30.1811,-50.2056,298.2,60,18,1.83,BR,1615559007
Brae,60.3964,-1.353,280.15,76,40,14.4,GB,1615559009
Port Moresby,-9.4431,147.1797,298.94,90,89,3.17,PG,1615559010
Norman Wells,65.282,-126.8329,253.15,71,90,11.83,CA,1615559011
Ponta do Sol,32.6667,-17.1,290.15,67,75,7.72,PT,1615559014
Bluff,-46.6,168.3333,281.48,94,25,0.89,NZ,1615559015
Kapuskasing,49.4169,-82.4331,262.15,85,100,8.23,CA,1615559016
Mataura,-46.1927,168.8643,281.48,94,0,0.89,NZ,1615559018
Jalu,29.0331,21.5482,293.67,19,100,5.11,LY,1615559019
Port Alfred,-33.5906,26.891,297.04,83,11,2.68,ZA,1615559020
Beringovskiy,63.05,179.3167,272.56,96,100,9.17,RU,1615559022
Dingle,10.9995,122.6711,297.23,94,100,4.69,PH,1615559023
Shahrud,36.4182,54.9763,283.91,69,100,2.87,IR,1615559024
Aitape,-3.1374,142.3475,299.32,81,100,0.82,PG,1615559026
Cape Town,-33.9258,18.4232,301.48,38,0,2.06,ZA,1615558806
Atuona,-9.8,-139.0333,299.27,62,45,2.17,PF,1615559028
Yulara,-25.2406,130.9889,299.15,65,40,10.29,AU,1615558937
Khani,41.9563,42.9566,275.15,100,90,3.6,GE,1615559031
São Filipe,14.8961,-24.4956,296.63,62,4,2.7,CV,1615559032
Narsaq,60.9167,-46.05,265.15,53,40,2.06,GL,1615559033
Bredasdorp,-34.5322,20.0403,297.15,60,100,4.63,ZA,1615559035
Whyalla,-33.0333,137.5833,297.15,60,55,2.57,AU,1615559036
Lorengau,-2.0226,147.2712,300.88,63,100,1.56,PG,1615559037
Lavrentiya,65.5833,-171.0,255.93,97,99,1.74,RU,1615559038
La Palma,33.8464,-118.0467,279.15,100,1,1.54,US,1615559040
Carnarvon,-24.8667,113.6333,300.15,69,0,8.23,AU,1615559041
Cap Malheureux,-19.9842,57.6142,300.37,63,54,4.47,MU,1615559042
Boa Vista,2.8197,-60.6733,300.15,69,75,4.12,BR,1615558971
El Alto,-4.2714,-81.2147,299.15,73,0,4.63,PE,1615559045
Marsá Maţrūḩ,31.3525,27.2453,289.15,51,20,7.72,EG,1615559046
La Ronge,55.1001,-105.2842,267.15,79,100,1.54,CA,1615559048
East London,-33.0153,27.9116,300.15,69,0,8.23,ZA,1615559049
Tuktoyaktuk,69.4541,-133.0374,251.15,84,75,8.23,CA,1615559050
Zlobin,45.2924,14.6541,283.15,87,75,6.69,HR,1615559052
Shebunino,46.4339,141.8603,272.34,69,0,5.25,RU,1615559053
Arraial do Cabo,-22.9661,-42.0278,302.15,78,0,3.09,BR,1615559054
Poum,-20.2333,164.0167,299.23,74,99,7.1,NC,1615559056
Katsuura,35.1333,140.3,284.82,91,100,0.45,JP,1615559059
Vao,-22.6667,167.4833,297.44,78,61,6.33,NC,1615559060
Pitimbu,-7.4706,-34.8086,304.15,55,75,5.14,BR,1615559062
Otane,-39.8833,176.6333,287.59,69,85,1.34,NZ,1615559063
Horadiz,39.4488,47.3353,273.15,100,90,7.2,AZ,1615559064
Andros Town,24.7,-77.7667,297.15,64,40,6.69,BS,1615559066
Bethel,41.3712,-73.414,288.15,36,1,4.12,US,1615559067
Tailai,46.3833,123.4,276.52,40,82,3.87,CN,1615559068
Haines Junction,60.7522,-137.5108,259.15,56,100,4.63,CA,1615559070
Ketchikan,55.3422,-131.6461,276.15,86,90,3.6,US,1615559071
Iqaluit,63.7506,-68.5145,246.48,69,40,5.14,CA,1615559072
Matías Romero,16.8833,-95.0333,295.44,88,66,3.3,MX,1615559074
Murgab,37.4966,61.9714,286.15,54,90,4.12,TM,1615559075
Nikolskoye,59.7035,30.7861,270.15,80,75,7.0,RU,1615559076
Longyearbyen,78.2186,15.6401,255.15,60,20,4.12,SJ,1615559078
Faanui,-16.4833,-151.75,301.48,65,92,2.89,PF,1615559079
Yellowknife,62.456,-114.3525,257.15,85,20,5.66,CA,1615559080
Channel-Port aux Basques,47.5702,-59.1367,276.0,92,100,5.74,CA,1615559082
Port Lincoln,-34.7333,135.8667,292.85,74,97,4.36,AU,1615559083
Luanda,-8.8368,13.2343,302.15,74,75,3.6,AO,1615558805
Chokurdakh,70.6333,147.9167,244.62,99,27,2.35,RU,1615559085
Zhigansk,66.7697,123.3711,254.46,98,100,1.64,RU,1615559087
Nome,64.5011,-165.4064,252.15,77,75,4.63,US,1615559088
Souillac,-20.5167,57.5167,301.15,65,40,4.12,MU,1615559089
Hong Kong,22.2855,114.1577,297.04,80,6,2.97,HK,1615558826
Yurty,56.0498,97.6348,272.78,83,100,3.34,RU,1615559092
Grand Gaube,-20.0064,57.6608,300.37,63,45,2.68,MU,1615559093
Sabha,27.0377,14.4283,300.67,20,64,8.77,LY,1615559095
Bac Lieu,9.285,105.7244,299.38,77,25,7.57,VN,1615559096
Codrington,-38.2667,141.9667,290.92,62,99,3.53,AU,1615559097
Kahului,20.8947,-156.47,295.15,83,20,5.14,US,1615559099
Harper,4.375,-7.7169,301.46,80,100,4.25,LR,1615559100
Torbay,47.6666,-52.7314,280.15,70,75,11.83,CA,1615559101
Saint-Augustin,51.226,-58.6502,274.07,99,100,10.76,CA,1615559103
Meulaboh,4.1363,96.1285,299.95,74,100,0.46,ID,1615559104
Sangar,63.9242,127.4739,257.7,89,100,4.3,RU,1615559105
Mogadishu,2.0371,45.3438,302.15,61,0,7.2,SO,1615559100
Worland,44.0169,-107.9554,265.15,86,1,2.18,US,1615559109
Tezu,27.9167,96.1667,296.27,47,24,1.98,IN,1615559111
Nakusp,50.2499,-117.8023,268.15,93,90,1.03,CA,1615559113
Khatanga,71.9667,102.5,246.93,79,94,3.79,RU,1615559114
Seoul,37.5683,126.9778,281.15,70,20,4.12,KR,1615558840
Kiama,-34.6833,150.8667,294.82,84,3,0.45,AU,1615559116
Shache,38.4167,77.2406,286.74,23,100,2.87,CN,1615559118
Tiksi,71.6872,128.8694,250.91,84,100,9.71,RU,1615559119
Ulladulla,-35.35,150.4667,292.15,100,1,1.25,AU,1615559120
Avarua,-21.2078,-159.775,299.15,83,0,2.06,CK,1615559122
Ürümqi,43.801,87.6005,273.15,93,75,4.0,CN,1615558934
Birjand,32.8663,59.2211,294.15,13,90,2.06,IR,1615559124
Half Moon Bay,37.4636,-122.4286,280.15,93,1,1.76,US,1615559125
Along,28.1667,94.7667,292.66,69,0,0.66,IN,1615559127
Port Blair,11.6667,92.75,300.99,75,0,2.99,IN,1615559128
Lufilufi,-13.8745,-171.5986,297.15,94,20,1.54,WS,1615559129
Alta Floresta,-9.8756,-56.0861,301.15,74,75,2.06,BR,1615558853
Hasaki,35.7333,140.8333,284.26,93,75,2.06,JP,1615559132
Ocara,-4.4908,-38.5967,303.15,65,97,2.95,BR,1615559133
Chaman,30.9236,66.4512,293.2,20,100,1.73,PK,1615559135
Santa Cruz de la Sierra,-17.8,-63.1667,301.15,74,75,5.14,BO,1615559136
Barrow,71.2906,-156.7887,239.15,68,1,4.63,US,1615559137
Husavik,66.0449,-17.3389,273.15,86,90,6.69,IS,1615559139
Clifton,40.8584,-74.1638,289.15,41,1,5.14,US,1615559140
Aklavik,68.2191,-135.0107,251.15,71,75,10.29,CA,1615559141
Macklin,52.3334,-109.9348,267.15,93,98,2.57,CA,1615559144
Kaitangata,-46.2817,169.8464,282.62,86,0,0.83,NZ,1615559145
Fort Nelson,58.8053,-122.7002,267.15,73,75,3.09,CA,1615559146
Asău,46.4333,26.4,280.37,47,78,4.58,RO,1615559148
Paamiut,61.994,-49.6678,263.11,88,100,2.25,GL,1615559149
Rockland,41.1668,-74.0496,288.15,38,40,7.2,US,1615559150
Acajutla,13.5928,-89.8275,298.15,53,0,2.02,SV,1615559152
Sur,22.5667,59.5289,300.34,40,0,4.51,OM,1615558986
Hualmay,-11.0964,-77.6139,296.95,72,1,3.36,PE,1615559155
Ilulissat,69.2167,-51.1,262.15,57,40,3.6,GL,1615559157
New Norfolk,-42.7826,147.0587,294.15,64,100,4.63,AU,1615559158
Tamiahua,21.2667,-97.45,296.57,91,97,3.14,MX,1615559159
Bonnyville,54.2668,-110.735,271.15,59,90,3.6,CA,1615559003
Caravelas,-17.7125,-39.2481,302.64,55,10,4.11,BR,1615559162
Sørland,67.667,12.6934,276.15,75,75,1.03,NO,1615559163
Timbiras,-4.2553,-43.9406,301.44,80,100,1.8,BR,1615559164
George Town,5.4112,100.3354,298.15,94,40,1.54,MY,1615558870
Catalina,32.5056,-110.9211,283.71,65,100,5.21,US,1615559167
Ilula,-7.6766,36.0366,300.15,41,20,5.14,TZ,1615559168
Castro,-24.7911,-50.0119,297.25,54,0,1.59,BR,1615559170
Bengkulu,-3.8004,102.2655,299.13,78,100,1.79,ID,1615558907
Saint Paul Harbor,57.79,-152.4072,265.15,53,1,9.26,US,1615559172
Kamaishi,39.2667,141.8833,278.75,65,100,1.79,JP,1615559174
Airai,-8.9266,125.4092,289.52,93,100,0.56,TL,1615559176
Hay River,60.8156,-115.7999,262.15,85,78,5.14,CA,1615559006
Mercedes,-34.6515,-59.4307,300.93,42,21,1.34,AR,1615559178
Viedma,-40.8135,-62.9967,296.88,32,85,5.4,AR,1615559179
San Jerónimo,-11.9472,-75.2829,282.38,86,99,0.92,PE,1615559181
Bubaque,11.2833,-15.8333,300.91,49,23,2.18,GW,1615559182
Vestmannaeyjar,63.4427,-20.2734,278.15,60,75,4.63,IS,1615559183
Carson City,39.1638,-119.7674,274.15,64,90,2.94,US,1615559185
Malartic,48.1335,-78.1328,270.37,74,75,4.12,CA,1615559186
Mount Isa,-20.7333,139.5,300.15,65,0,2.48,AU,1615559189
Aldan,58.6031,125.3894,267.73,93,100,6.4,RU,1615559190
Province of Mantua,45.1667,10.7833,289.26,66,75,3.6,IT,1615559011
Ojinaga,29.5667,-104.4167,291.15,63,1,2.15,MX,1615559192
São José da Coroa Grande,-8.8978,-35.1478,302.29,64,28,4.41,BR,1615559194
Karpathos,35.507,27.2132,288.15,51,20,12.86,GR,1615559195
Fairbanks,64.8378,-147.7164,243.71,76,1,0.23,US,1615559163
Banjar,-8.19,114.9675,299.15,94,20,0.51,ID,1615559197
Lüderitz,-26.6481,15.1594,297.57,59,24,3.88,NA,1615559003
Venkatagiri,13.9667,79.5833,301.15,57,20,2.06,IN,1615559200
São Miguel do Araguaia,-13.275,-50.1628,298.27,82,98,1.28,BR,1615559202
Saskylakh,71.9167,114.0833,248.34,83,98,4.65,RU,1615559204
Bundaberg,-24.85,152.35,296.48,94,0,1.54,AU,1615558982
Sinnamary,5.3833,-52.95,298.52,88,100,2.99,GF,1615559206
Leh,34.1667,77.5833,267.84,54,92,0.83,IN,1615559208
Wapi Pathum,15.8452,103.3768,303.15,69,0,1.54,TH,1615559209
Teluk Nibung,3.001,99.8164,298.75,84,99,1.66,ID,1615559210
Puerto Peñasco,31.3167,-113.5333,286.72,53,64,2.85,MX,1615559212
Royan,45.6285,-1.0281,286.15,58,0,8.75,FR,1615559213
Aquin,18.2833,-73.4,298.63,72,2,1.16,HT,1615559214
Kruisfontein,-34.0033,24.7314,301.02,44,99,4.51,ZA,1615559216
Mūl,20.0667,79.6667,302.14,21,3,0.7,IN,1615559217
Puerto Baquerizo Moreno,-0.9,-89.6,300.15,89,20,2.06,EC,1615559218
Makurdi,7.7411,8.5121,311.78,31,70,4.46,NG,1615559220
Barra do Garças,-15.89,-52.2567,303.15,70,40,2.06,BR,1615559221
Ashland,40.8167,-82.2665,280.15,65,1,2.57,US,1615558981
Rize,40.9044,40.8949,263.92,94,100,2.37,TR,1615559223
Gouré,13.9835,10.2704,312.04,4,0,0.89,NE,1615559225
Riacho de Santana,-13.6092,-42.9389,303.55,44,15,1.25,BR,1615559226
Marovoay,-16.1,46.6333,304.02,70,8,0.16,MG,1615559227
Yangi Marg`ilon,40.4272,71.7189,284.15,62,100,3.09,UZ,1615559229
Klaksvík,62.2266,-6.589,277.15,93,75,8.75,FO,1615559230
Roald,62.5833,6.1333,279.15,75,75,7.72,NO,1615559231
Charters Towers,-20.1,146.2667,296.32,83,0,4.49,AU,1615559233
Cherskiy,68.75,161.3,251.46,81,100,2.92,RU,1615559234
Nabire,-3.3667,135.4833,298.35,89,95,1.36,ID,1615559235
Kiryat Gat,31.61,34.7642,289.82,37,26,0.45,IL,1615559160
Jaicós,-7.3592,-41.1378,303.68,58,20,2.15,BR,1615559238
Adrar,20.5022,-10.0711,300.55,12,1,8.33,MR,1615559239
Mahon,39.8885,4.2658,289.15,72,40,6.17,ES,1615559240
Sam Roi Yot,12.2708,99.872,298.81,79,0,3.21,TH,1615559242
Hondomachi-hondo,32.45,130.2,287.04,87,75,7.15,JP,1615559243
Santa Cruz,30.4202,-9.5982,296.15,35,0,6.17,MA,1615559244
Brandfort,-28.7001,26.4597,304.15,22,20,3.6,ZA,1615559246
Dawlatabad,36.4141,64.9053,293.53,35,100,4.65,AF,1615559247
Mackay,-21.15,149.2,300.15,74,4,4.63,AU,1615559249
Saint George,37.1041,-113.5841,276.48,87,90,2.06,US,1615558951
Moerai,-22.4333,-151.3333,299.28,65,100,2.04,PF,1615559253
Padang,-0.9492,100.3543,297.15,94,40,1.03,ID,1615559254
Tarko-Sale,64.9225,77.785,246.84,88,0,6.42,RU,1615559256
Sitka,57.0531,-135.33,272.15,80,75,3.09,US,1615559257
Ihosy,-22.4,46.1167,297.96,77,1,4.46,MG,1615559259
Sīrjān,29.452,55.6814,292.57,22,100,11.46,IR,1615559261
Tamsweg,47.1281,13.811,285.15,50,40,2.57,AT,1615559262
Ust-Tsilma,65.441,52.1498,266.03,84,91,4.16,RU,1615559263
Talcahuano,-36.7167,-73.1167,291.15,68,0,2.57,CL,1615559265
Port Elizabeth,-33.918,25.5701,298.15,69,0,4.12,ZA,1615559266
Marawi,7.9986,124.2928,297.59,91,92,1.34,PH,1615559267
Kjøllefjord,70.9457,27.3465,269.15,80,75,7.2,NO,1615559269
Kungurtug,50.5994,97.5228,268.34,69,0,2.15,RU,1615559270
Mingshui,36.7167,117.5,286.48,59,1,1.43,CN,1615559271
Mogwase,-25.185,27.2665,296.38,56,90,9.39,ZA,1615559273
Mount Gambier,-37.8333,140.7667,292.15,59,100,4.12,AU,1615558984
Tessalit,20.1986,1.0114,300.77,13,0,8.61,ML,1615559275
Kutum,14.2,24.6667,307.8,5,39,5.98,SD,1615559276
Kieta,-6.2167,155.6333,299.84,82,100,2.31,PG,1615559278
Shūshtar,32.0455,48.8567,294.44,51,77,7.62,IR,1615559279
Mahébourg,-20.4081,57.7,301.15,65,40,4.12,MU,1615559280
Faya,18.3851,42.4509,297.15,49,20,5.66,SA,1615559282
Cabo San Lucas,22.8909,-109.9124,288.71,67,75,2.06,MX,1615559284
Srednekolymsk,67.45,153.6833,248.85,96,100,2.92,RU,1615559285
Ballina,-28.8667,153.5667,294.26,94,40,1.54,AU,1615559287
Sangmélima,2.9333,11.9833,301.97,55,100,1.7,CM,1615559288
Roseburg,43.2165,-123.3417,274.15,93,90,1.54,US,1615559110
Teahupoo,-17.8333,-149.2667,298.15,88,20,1.03,PF,1615559291
Hobyo,5.3505,48.5268,299.94,72,94,7.08,SO,1615559292
Imbituba,-28.24,-48.6703,300.15,61,20,2.06,BR,1615559293
San Patricio,28.017,-97.5169,295.93,88,40,8.23,US,1615559296
Zernograd,46.8452,40.3083,271.48,29,0,7.15,RU,1615559297
Sorong,-0.8833,131.25,300.0,75,100,2.91,ID,1615559298
Samarai,-10.6167,150.6667,301.59,74,100,1.48,PG,1615559300
Gubkinskiy,64.434,76.5026,248.47,88,0,6.74,RU,1615559301
‘Āhuimanu,21.4447,-157.8378,295.15,94,1,2.06,US,1615559302
Kavieng,-2.5744,150.7967,301.09,66,83,2.05,PG,1615559304
Mamontovo,52.7055,81.6244,260.67,87,100,1.44,RU,1615559305
Kristinehamn,59.3098,14.1081,280.15,75,75,7.2,SE,1615559306
Ancud,-41.8697,-73.8203,288.15,82,20,3.09,CL,1615559308
Laas,46.6166,10.7002,290.15,31,0,2.06,IT,1615559309
Bambous Virieux,-20.3428,57.7575,301.15,65,40,4.12,MU,1615559311
Smithers,54.7804,-127.1743,273.15,93,90,3.09,CA,1615559312
Sioux Lookout,50.1001,-91.917,257.15,72,1,3.6,CA,1615559313
Rura,26.4833,79.9,298.36,37,99,7.07,IN,1615559315
San Quintín,30.4833,-115.95,282.85,75,78,1.41,MX,1615559316
Mar del Plata,-38.0023,-57.5575,293.15,64,20,3.6,AR,1615559277
Jieshi,22.8134,115.8257,298.15,73,27,8.35,CN,1615559319
Lebu,-37.6167,-73.65,289.77,69,0,7.9,CL,1615559320
Itarema,-2.9248,-39.9167,303.36,62,99,6.25,BR,1615559321
Orbetello,42.4408,11.2196,289.15,100,90,6.69,IT,1615559323
Savannah Bight,16.45,-85.85,299.15,83,40,7.3,HN,1615559324
Bedelē,8.456,36.353,302.08,20,40,1.25,ET,1615559325
Miyang,24.4042,103.4428,289.17,36,0,0.03,CN,1615559327
Correia Pinto,-27.5847,-50.3611,299.33,44,47,0.65,BR,1615559328
Yerbogachën,61.2767,108.0108,260.06,95,50,2.57,RU,1615559329
Den Helder,52.9599,4.7593,280.37,87,90,11.83,NL,1615559331
Lata,40.1629,-8.3327,288.71,44,11,2.24,PT,1615559332
San Vicente de Cañete,-13.0751,-76.3835,296.55,76,2,2.28,PE,1615559334
Preobrazheniye,42.9019,133.9064,273.45,73,0,1.03,RU,1615559335
Yantal',56.8471,105.2542,267.52,92,99,3.34,RU,1615559336
Kirksville,40.1948,-92.5833,278.71,81,1,3.6,US,1615559339
Tuatapere,-46.1333,167.6833,281.48,94,2,0.89,NZ,1615559340
Hanmer Springs,-42.5167,172.8167,281.44,89,0,1.11,NZ,1615559342
Salalah,17.0151,54.0924,301.15,57,0,4.12,OM,1615559343
Thompson,55.7435,-97.8558,251.15,77,75,1.54,CA,1615559344
Lodja,-3.4833,23.4333,308.45,40,50,0.96,CD,1615559346
Hofn,64.2539,-15.2082,278.15,56,75,8.23,IS,1615559347
Upernavik,72.7868,-56.1549,255.52,77,0,0.68,GL,1615559348
Naze,28.3667,129.4833,288.4,80,97,6.57,JP,1615559350
