City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
Arlit,18.7369,7.3853,310.7,7,97,6.39,NE,1615559351
Letterkenny,54.95,-7.7333,280.15,70,40,9.26,IE,1615559352
Richha,28.7,79.5167,298.39,29,100,4.87,IN,1615559353
Talara,-4.5772,-81.2719,299.15,73,0,4.63,PE,1615559355
Sambava,-14.2667,50.1667,301.58,75,48,6.42,MG,1615559059
Okha,53.5739,142.9478,264.58,95,100,2.71,RU,1615559357
Minot,48.2325,-101.2963,267.15,68,1,5.14,US,1615559361
Kroya,-7.6331,109.2461,299.57,84,100,0.65,ID,1615559362
Sarakhs,36.5449,61.1577,285.15,58,90,4.12,IR,1615559363
Qian’an,44.9932,124.0581,272.93,51,80,1.68,CN,1615559365
Ankazoabo,-22.2833,44.5167,302.16,63,73,0.92,MG,1615559366
Chui,-33.6971,-53.4616,298.34,55,0,3.75,UY,1615559367
Porto Velho,-8.7619,-63.9039,298.15,88,75,2.06,BR,1615559369
Nkowakowa,-23.8878,30.2871,299.15,41,40,5.14,ZA,1615559370
Suffolk,40.8668,-72.7996,289.15,44,90,5.66,US,1615559371
Arua,3.0201,30.9111,306.57,19,76,3.1,UG,1615559373
Margate,51.3813,1.3862,283.71,53,100,2.24,GB,1615559374
Tsimmerbude,54.675,20.1347,278.15,81,75,12.0,RU,1615559375
Xichang,27.8964,102.2634,288.28,50,0,1.0,CN,1615559377
Vardø,70.3705,31.1107,268.15,80,75,13.38,NO,1615559378
Ngaoundéré,7.3167,13.5833,305.82,21,100,0.66,CM,1615559379
Gushikawa,26.3544,127.8686,292.15,72,90,4.12,JP,1615559381
Fare,-16.7,-151.0167,301.17,66,5,2.1,PF,1615559382
Trincomalee,8.5711,81.2335,300.31,74,72,5.3,LK,1615559383
Praia da Vitória,38.7333,-27.0667,287.15,100,75,6.37,PT,1615559385
Tasiilaq,65.6145,-37.6368,268.15,80,40,1.54,GL,1615559386
Vila,42.0304,-8.1588,286.48,65,39,4.02,PT,1615559387
Opuwo,-18.0607,13.84,306.4,23,85,4.7,NA,1615559389
Juradó,7.1053,-77.7641,298.37,83,94,1.8,CO,1615559390
Morwell,-38.2333,146.4,289.82,91,88,0.94,AU,1615559391
Dul'durga,50.6761,113.5931,273.56,73,100,2.41,RU,1615559393
Wilmington,34.2257,-77.9447,293.15,63,1,5.66,US,1615559124
Bhag,29.0415,67.8239,301.18,22,2,3.51,PK,1615559395
Lumphat,13.4878,106.9816,300.29,51,3,4.77,KH,1615559396
Cabedelo,-6.9811,-34.8339,304.15,55,75,5.14,BR,1615559398
Erenhot,43.6475,111.9767,275.17,48,0,2.87,CN,1615559399
Tagbina,8.4519,126.1714,296.74,96,100,0.44,PH,1615559400
Coquimbo,-29.9533,-71.3436,290.15,82,90,3.09,CL,1615559145
Sola,-13.8833,167.55,300.52,77,100,7.4,VU,1615559404
Grindavik,63.8424,-22.4338,274.15,75,75,12.35,IS,1615559353
Smirnykh,49.75,142.8333,266.53,80,40,1.52,RU,1615559407
Gaborone,-24.6545,25.9086,304.15,33,40,4.63,BW,1615559409
Alexandria,31.2156,29.9553,290.15,55,40,6.69,EG,1615559377
Karasjok,69.4719,25.5112,269.15,68,75,8.23,NO,1615559412
Kangundo,-1.2979,37.3471,300.15,28,40,6.17,KE,1615559413
Pokhara,28.2333,83.9833,293.35,22,70,2.82,NP,1615559414
Sakakah,29.9697,40.2064,292.15,27,0,13.89,SA,1615559416
Fairmont,39.4851,-80.1426,281.48,96,100,1.58,US,1615559417
Sittwe,20.15,92.9,298.62,77,0,5.12,MM,1615559418
Udachny,66.4167,112.4,249.77,91,20,3.96,RU,1615559420
Yuli,9.6989,10.2744,313.88,17,2,4.07,NG,1615559421
Mukacheve,48.4392,22.7178,278.71,93,90,3.0,UA,1615559422
Necochea,-38.5473,-58.7368,295.37,44,68,0.89,AR,1615559424
Nanortalik,60.1432,-45.2371,266.29,62,19,7.0,GL,1615559425
Warrington,53.3925,-2.5802,282.59,66,75,8.75,GB,1615559403
Kavaratti,10.5669,72.642,301.88,64,94,1.01,IN,1615559427
Ban Dung,17.699,103.2596,304.82,58,0,1.54,TH,1615559429
Tokmak,47.2514,35.7058,270.49,51,98,5.77,UA,1615559431
Paracatu,-17.2222,-46.8747,299.45,79,78,0.81,BR,1615559433
Agadez,19.75,10.25,311.4,4,0,8.84,NE,1615559434
Peniche,39.3558,-9.3811,289.26,69,80,3.58,PT,1615559435
Ahipara,-35.1667,173.1667,288.52,90,0,1.77,NZ,1615559437
Kysyl-Syr,63.8986,122.7617,257.06,96,99,1.71,RU,1615559438
Fukuechō,32.6881,128.8419,286.41,83,90,13.5,JP,1615559440
Zhangye,38.9342,100.4517,286.03,17,9,5.56,CN,1615559442
Touros,-5.1989,-35.4608,304.15,51,20,7.2,BR,1615559443
Smyshlyayevka,53.2391,50.3907,267.15,42,0,2.0,RU,1615559444
Carutapera,-1.195,-46.02,300.15,90,99,3.04,BR,1615559446
Mattru,7.6244,-11.8332,309.27,38,92,1.23,SL,1615559447
Arman',59.7,150.1667,254.57,70,0,3.41,RU,1615559448
Nishihara,26.1842,127.7558,292.15,63,90,4.63,JP,1615559450
Río Gallegos,-51.6226,-69.2181,293.15,32,0,10.8,AR,1615559451
Freeport,40.6576,-73.5832,289.15,41,90,4.12,US,1615559246
Clyde River,70.4692,-68.5914,254.15,84,90,6.69,CA,1615559454
Lubao,14.9167,120.55,300.15,69,75,2.06,PH,1615559455
Itamarandiba,-17.8572,-42.8589,297.3,80,47,1.55,BR,1615559456
St. George's,12.0564,-61.7485,301.15,69,75,9.77,GD,1615559262
Henties Bay,-22.116,14.2845,294.42,74,2,6.09,NA,1615559459
Trofors,65.5333,13.4063,275.15,80,75,4.12,NO,1615559460
Portland,45.5234,-122.6762,275.93,80,20,0.47,US,1615559414
Manyana,-23.4,21.7167,300.73,38,68,7.07,BW,1615559462
City of San Pedro,14.35,121.0167,299.82,78,75,1.03,PH,1615559464
Salinas,36.6777,-121.6555,284.15,81,90,1.12,US,1615559465
Makakilo City,21.3469,-158.0858,294.15,88,75,1.54,US,1615559454
Tigil',57.8,158.6667,262.5,94,100,5.83,RU,1615559468
Houston,29.7633,-95.3633,295.37,88,75,5.14,US,1615559444
Huejuquilla el Alto,22.6,-103.8667,290.85,30,0,0.64,MX,1615559470
Villa María,-32.4075,-63.2402,300.87,40,96,3.04,AR,1615559471
Santa María del Oro,25.9333,-105.3667,289.47,31,43,2.01,MX,1615559474
Laguna,38.421,-121.4238,276.48,80,1,0.83,US,1615559471
Abu Dhabi,24.4667,54.3667,310.15,14,0,2.57,AE,1615559448
Labuhan,-6.8844,112.2051,299.57,81,88,1.4,ID,1615559477
Mitsamiouli,-11.3847,43.2844,301.84,67,11,2.39,KM,1615559479
Panzhihua,26.5851,101.7128,288.15,43,0,0.17,CN,1615559480
Vikhorevka,56.1201,101.1636,271.15,50,100,3.0,RU,1615559481
Quatre Cocos,-20.2078,57.7625,301.15,65,40,4.12,MU,1615559483
Banting,2.8167,101.5,299.15,88,20,1.03,MY,1615559484
Rawson,-43.3002,-65.1023,294.8,36,47,5.41,AR,1615559305
Mossamedes,-15.1961,12.1522,299.22,72,3,5.9,AO,1615559487
Coolum Beach,-26.5333,153.1,295.93,95,11,1.17,AU,1615559488
Bagdarin,54.4333,113.6,267.42,86,73,1.67,RU,1615559489
Lodwar,3.1191,35.5973,308.44,24,31,8.27,KE,1615559491
Namuac,18.6109,121.1657,297.54,86,68,6.59,PH,1615559492
Ventspils,57.3894,21.5606,277.15,100,90,7.72,LV,1615559493
Tumsar,21.3833,79.7333,300.87,24,47,1.64,IN,1615559495
Hadejia,12.4498,10.0444,313.41,9,62,0.09,NG,1615559496
Maniitsoq,65.4167,-52.9,265.26,79,100,1.97,GL,1615559497
Ilhabela,-23.7781,-45.3581,300.19,79,26,1.88,BR,1615559499
Navahrudak,53.6,25.8333,274.47,98,100,4.58,BY,1615559501
Bonavista,48.6499,-53.1147,277.15,87,99,4.63,CA,1615559502
Young,-32.6833,-57.6333,304.26,46,8,0.45,UY,1615559504
Cooma,-36.2333,149.1333,285.15,100,40,2.57,AU,1615559505
San Vicente,-26.6167,-54.1333,303.77,26,0,0.58,AR,1615559506
Vilyuysk,63.7553,121.6247,256.92,97,98,1.42,RU,1615559508
Anykščiai,55.5256,25.1026,275.49,97,100,5.97,LT,1615559509
Morales,2.757,-76.6172,294.58,72,48,1.12,CO,1615559511
Pangnirtung,66.1451,-65.7125,246.15,69,20,0.94,CA,1615559512
Zunheboto,25.9667,94.5167,287.49,47,0,0.85,IN,1615559513
Stornoway,58.2093,-6.3865,278.15,87,40,9.77,GB,1615559515
Safonovo,55.15,33.2167,267.63,90,100,8.8,RU,1615559516
Nemuro,43.3236,145.575,271.89,85,0,2.92,JP,1615559517
Lerici,44.0759,9.9112,288.15,77,40,3.6,IT,1615559519
Bairiki Village,1.3292,172.9752,300.15,78,20,3.09,KI,1615559520
Mayo,38.8876,-76.5119,292.04,45,40,2.06,US,1615559521
Ambilobe,-13.2,49.05,298.34,88,99,0.35,MG,1615559525
Yar-Sale,66.8333,70.8333,259.58,86,100,7.57,RU,1615559526
Fortuna,40.5982,-124.1573,278.71,93,90,3.09,US,1615559528
Bosaso,11.2842,49.1816,300.15,83,0,10.29,SO,1615559529
Constitución,-35.3333,-72.4167,294.22,50,0,1.64,CL,1615559530
Juneau,58.3019,-134.4197,270.15,80,75,0.48,US,1615559415
Kununurra,-15.7667,128.7333,300.15,94,40,1.03,AU,1615559533
Sayyan,15.1718,44.3244,293.26,29,55,1.39,YE,1615559482
Kailua,21.4022,-157.7394,295.15,94,1,2.06,US,1615559535
Qui Nhon,13.7667,109.2333,297.27,86,92,4.34,VN,1615559373
Mandan,46.8267,-100.8896,266.15,100,1,3.09,US,1615559538
Tonantins,-2.8731,-67.8022,299.13,82,100,0.85,BR,1615559539
Catuday,16.2923,119.8062,298.7,72,100,2.08,PH,1615559540
Marzuq,14.4,46.4667,296.02,28,0,5.75,YE,1615559542
Marsh Harbour,26.5412,-77.0636,294.89,72,1,8.62,BS,1615559543
Kota Kinabalu,5.9749,116.0724,300.15,83,20,1.54,MY,1615559544
Konosha,60.9736,40.257,264.69,83,0,5.27,RU,1615559546
Örnsköldsvik,63.2909,18.7153,271.15,100,90,4.63,SE,1615559547
Taltal,-25.4,-70.4833,294.12,80,94,1.68,CL,1615559548
Ames,42.0347,-93.6199,276.48,75,1,2.49,US,1615559401
Tilichiki,60.4667,166.1,269.45,96,100,3.57,RU,1615559551
Tokat,40.4167,36.5833,268.93,57,0,1.79,TR,1615559552
Alice Town,25.7167,-79.3,294.98,68,0,8.43,BS,1615559553
Pacol,10.45,122.8167,299.14,83,100,4.33,PH,1615559555
Jijiang,29.2906,106.2542,290.93,63,0,4.0,CN,1615559556
Buala,-8.145,159.5921,299.35,77,45,2.67,SB,1615559557
Vila Franca do Campo,37.7167,-25.4333,288.15,94,75,5.66,PT,1615559561
Marabu,4.4148,114.0089,299.15,94,40,1.03,MY,1615559562
Las Cruces,32.3123,-106.7783,285.15,15,1,1.54,US,1615559408
Kempele,64.9131,25.5034,269.26,68,75,4.12,FI,1615559419
Polunochnoye,60.8697,60.4153,260.56,85,31,3.0,RU,1615559566
Tarui,35.3667,136.5333,285.37,15,100,3.49,JP,1615559567
Juegang,32.3174,121.1855,282.59,80,0,1.93,CN,1615559569
Zambrów,52.9855,22.2432,279.82,71,100,4.57,PL,1615559573
Ous,60.9058,61.5186,261.62,82,44,4.3,RU,1615559575
Upington,-28.4478,21.2561,312.15,10,40,5.66,ZA,1615559577
Bathsheba,13.2167,-59.5167,301.15,61,40,8.23,BB,1615559578
Pevek,69.7008,170.3133,252.5,82,100,1.09,RU,1615559580
Cairns,-16.9167,145.7667,299.15,83,75,3.6,AU,1615559581
Bobrovka,54.047,61.7455,254.06,88,33,4.19,RU,1615559582
Mechetinskaya,46.7713,40.456,270.62,37,0,4.76,RU,1615559528
Guerrero Negro,27.9769,-114.0611,286.26,64,0,1.01,MX,1615559586
Esim,4.8699,-2.2405,303.05,68,74,4.48,GH,1615559587
Maralal,1.0968,36.698,296.31,33,100,7.49,KE,1615559589
Bilibino,68.0546,166.4372,253.36,81,100,1.6,RU,1615559590
Zeya,53.75,127.2667,271.18,99,100,0.91,RU,1615559591
Balsas,-7.5325,-46.0356,302.57,69,86,2.57,BR,1615559593
Katav-Ivanovsk,54.7531,58.1956,258.72,95,100,2.76,RU,1615559594
Gravdal,68.1214,13.5031,276.15,60,90,4.63,NO,1615559595
Aktau,43.65,51.2,269.15,33,0,11.0,KZ,1615559597
Dhidhdhoo,6.8833,73.1,301.79,74,7,6.94,MV,1615559598
Meliti,40.8333,21.5833,287.04,26,20,2.57,GR,1615559599
Iberia,29.9502,-91.7507,292.59,100,90,3.09,US,1615559601
Manta,-0.95,-80.7333,301.15,74,40,1.54,EC,1615559492
Mabaruma,8.2,-59.7833,302.02,67,21,3.08,GY,1615559603
Beloha,-25.1667,45.05,299.44,66,0,6.64,MG,1615559604
Agüimes,27.9054,-15.4461,295.93,64,20,7.72,ES,1615559606
Leningradskiy,69.3833,178.4167,256.07,77,100,4.31,RU,1615559607
Chenzhou,25.8,113.0333,288.09,90,11,0.37,CN,1615559608
Kilindoni,-7.9139,39.6668,301.09,68,0,5.07,TZ,1615559610
Paramonga,-10.6667,-77.8333,297.93,69,4,4.16,PE,1615559612
Hlukhiv,51.6782,33.9162,268.67,66,100,7.75,UA,1615559614
Atar,20.5169,-13.0499,304.63,10,0,7.54,MR,1615559615
Krapivinskiy,54.9992,86.8133,261.15,56,0,3.0,RU,1615559616
Evensk,61.95,159.2333,262.19,79,100,4.18,RU,1615559618
Haverhill,42.7762,-71.0773,286.48,24,1,9.26,US,1615559619
Suntar,62.1444,117.6319,261.98,90,99,3.57,RU,1615559620
Zhezkazgan,47.8043,67.7144,254.1,86,62,5.13,KZ,1615559622
Hīt,33.6416,42.8251,289.77,26,11,11.42,IQ,1615559624
Marinette,45.1,-87.6307,273.15,43,20,4.12,US,1615559625
Kaputa,-8.4689,29.6619,300.52,73,81,3.16,ZM,1615559627
Russell,32.3502,-85.1999,289.26,77,1,0.88,US,1615559408
Dinghaicun,26.2847,119.7936,288.15,82,90,5.0,CN,1615559629
Chumikan,54.7183,135.315,271.06,77,78,9.74,RU,1615559630
Liwale,-9.7667,37.9333,298.77,82,95,1.71,TZ,1615559632
Jumla,29.2747,82.1838,279.83,62,86,1.88,NP,1615559633
Shubarkuduk,49.1447,56.4872,255.31,91,12,2.52,KZ,1615559636
Ruza,55.699,36.1952,266.15,38,0,9.0,RU,1615559637
Najrān,17.4924,44.1277,306.15,8,0,4.12,SA,1615559638
Kampene,-3.6,26.6667,302.8,56,51,0.34,CD,1615559640
Ajdabiya,30.7554,20.2263,289.23,51,0,6.8,LY,1615559641
Cutlerville,42.8409,-85.6636,278.71,65,20,6.17,US,1615559642
Manzanillo,20.3433,-77.1167,299.79,57,21,7.31,CU,1615559644
Montepuez,-13.1256,38.9997,296.95,93,100,0.89,MZ,1615559645
Egvekinot,66.3167,-179.1667,259.83,95,100,1.55,RU,1615559646
Līsakovsk,52.5369,62.4936,251.2,85,0,3.99,KZ,1615559648
Sisophon,13.5859,102.9737,303.9,38,56,2.27,KH,1615559649
Gölköy,40.6875,37.6178,277.15,65,75,3.09,TR,1615559650
Store Heddinge,55.3097,12.3889,280.37,70,75,8.75,DK,1615559653
Rancho Mirage,33.7397,-116.4128,280.15,61,1,2.2,US,1615559654
Batagay,67.6333,134.6333,246.15,86,3,1.56,RU,1615559655
Kanniyākumāri,8.0833,77.5667,300.97,64,21,6.72,IN,1615559657
Namatanai,-3.6667,152.4333,299.16,83,88,1.68,PG,1615559658
Omsukchan,62.5333,155.8,252.19,98,100,2.55,RU,1615559593
Colares,38.7992,-9.4469,289.26,58,20,6.17,PT,1615559660
Umluj,25.0213,37.2685,296.92,50,0,7.98,SA,1615559662
Basse,52.5518,9.5069,282.04,71,75,5.66,DE,1615559663
Tura,25.5198,90.2201,296.59,40,33,0.91,IN,1615559664
Kaili,-3.4626,120.2147,292.59,88,84,1.44,ID,1615559666
Lancaster,40.2504,-76.2499,289.15,55,90,4.63,US,1615559667
Shimoda,34.6667,138.95,280.93,91,100,6.22,JP,1615559668
Havøysund,70.9963,24.6622,269.15,80,75,1.54,NO,1615559670
Nyurba,63.2842,118.3319,259.02,95,92,3.11,RU,1615559595
Forestville,38.8451,-76.875,292.04,45,20,3.09,US,1615559672
Yumen,40.2833,97.2,282.53,21,0,3.82,CN,1615559674
Rybachiy,48.7073,44.7449,268.71,46,0,3.0,RU,1615559675
Alta,69.9689,23.2717,270.37,63,0,6.69,NO,1615559676
Morgan City,29.6994,-91.2068,294.26,100,75,3.09,US,1615559679
Caramay,10.1815,119.236,298.38,87,100,3.09,PH,1615559680
Ngunguru,-35.6167,174.5,288.15,94,13,1.34,NZ,1615559681
Kalmunai,7.4167,81.8167,299.19,78,31,3.99,LK,1615559684
Deputatsky,69.3,139.9,244.44,83,34,1.48,RU,1615559685
Broome,42.2506,-75.833,282.04,56,1,4.63,US,1615559686
Çine,37.6117,28.0614,288.15,44,0,0.51,TR,1615559688
Inírida,3.8653,-67.9239,300.06,88,78,1.36,CO,1615559689
Berdigestyakh,62.0989,126.6992,262.8,96,100,1.01,RU,1615559690
Turukhansk,65.8167,87.9833,248.72,94,57,0.81,RU,1615559692
Omboué,-1.5746,9.2618,301.2,73,100,2.62,GA,1615559693
Kargasok,59.0556,80.8572,259.2,95,94,3.27,RU,1615559694
Neepawa,50.2289,-99.4664,261.15,79,75,4.9,CA,1615559696
Lompoc,34.6391,-120.4579,277.59,93,1,1.97,US,1615559697
Canillo,42.5833,1.6667,282.59,92,99,2.58,AD,1615559698
Mayor Pablo Lagerenza,-19.9309,-60.7718,309.5,26,0,2.57,PY,1615559700
Wenling,28.3669,121.36,287.04,83,12,4.83,CN,1615559701
Kumul,42.8,93.45,285.56,24,66,3.07,CN,1615559702
Lagoa,39.05,-27.9833,286.94,88,100,5.35,PT,1615559704
Villazón,-22.0866,-65.5942,286.71,50,24,4.69,BO,1615559705
Eqbālīyeh,35.3022,51.5358,284.15,82,90,9.26,IR,1615559706
Noumea,-22.2763,166.4572,295.15,88,90,2.57,NC,1615559708
Svay Rieng,11.0879,105.7993,300.59,54,24,4.98,KH,1615559709
Killin,33.6123,-91.7412,291.15,94,90,3.6,US,1615559710
Sindor,62.8629,51.8905,264.55,91,100,3.93,RU,1615559712
Bulri,24.8667,68.3333,299.06,41,13,6.18,PK,1615559713
Wanning,18.8003,110.3967,294.91,93,17,2.46,CN,1615559714
Bandarbeyla,9.4942,50.8122,299.2,64,0,3.73,SO,1615559716
Saint-Paul,-21.0096,55.2707,300.15,61,90,6.17,RE,1615559717
Kubuta,-26.8833,31.4833,301.15,57,40,5.66,SZ,1615559718
Kembé,4.6228,21.8865,304.95,42,79,1.59,CF,1615559720
Mobaye,4.319,21.1786,310.69,27,71,1.51,CF,1615559721
Olafsvik,64.8945,-23.7142,272.84,75,100,11.73,IS,1615559722
Dale,38.1689,-86.99,283.15,93,90,2.57,US,1615559724
Constantine,36.365,6.6147,293.15,24,0,4.63,DZ,1615559518
Acará,-1.9608,-48.1967,301.66,77,100,1.05,BR,1615559726
Pāsighāt,28.0667,95.3333,295.97,52,0,2.13,IN,1615559728
Ati,13.2154,18.3353,315.68,5,18,3.92,TD,1615559729
Goderich,43.7501,-81.7165,276.15,81,0,5.66,CA,1615559730
Vila Velha,-20.3297,-40.2925,303.15,62,0,6.17,BR,1615559508
Kidal,18.4411,1.4078,303.28,9,0,8.84,ML,1615559733
Zyryanka,65.75,150.85,251.63,97,99,4.68,RU,1615559734
Romny,50.751,33.4747,269.58,60,100,7.43,UA,1615559735
Jadu,31.953,12.0261,290.92,27,18,4.74,LY,1615559737
Bilma,18.6853,12.9164,311.9,3,28,8.27,NE,1615559738
Nantucket,41.2835,-70.0995,281.15,93,1,6.69,US,1615559456
Miles City,46.4083,-105.8406,267.15,86,1,4.12,US,1615559742
Thinadhoo,0.5333,72.9333,302.21,64,90,2.86,MV,1615559743
Sisimiut,66.9395,-53.6735,264.31,88,100,3.17,GL,1615559744
Rognan,67.0953,15.3878,273.71,73,100,4.92,NO,1615559746
Cachoeira do Sul,-30.0392,-52.8939,303.78,44,33,0.46,BR,1615559649
Karratha,-20.7377,116.8463,302.46,68,0,1.29,AU,1615559748
Saint-Joseph,-21.3667,55.6167,300.15,65,0,7.72,RE,1615559749
Ormara,25.2088,64.6357,296.94,81,14,1.63,PK,1615559751
Price,39.5994,-110.8107,271.15,74,20,5.14,US,1615559752
Samarinda,-0.5,117.15,296.55,93,89,0.77,ID,1615559756
Teya,60.3778,92.6267,261.9,89,62,4.03,RU,1615559757
Normandin,48.8333,-72.5321,273.15,64,83,12.86,CA,1615559758
